"type","post_published","likes_count_fb","comments_count_fb","shares_count_fb","date"
"link","2017-02-27",1039,304,259,2017-02-27
"link","2017-02-27",1550,1047,500,2017-02-27
"video","2017-02-26",756,286,207,2017-02-26
"link","2017-02-26",334,394,44,2017-02-26
"photo","2017-02-25",339,321,107,2017-02-25
"link","2017-02-25",343,110,126,2017-02-25
"link","2017-02-24",321,364,71,2017-02-24
"video","2017-02-24",419,135,180,2017-02-24
"link","2017-02-24",350,253,115,2017-02-24
"link","2017-02-23",238,423,44,2017-02-23
"video","2017-02-23",228,369,91,2017-02-23
"video","2017-02-23",148,191,0,2017-02-23
"photo","2017-02-23",188,173,110,2017-02-23
"link","2017-02-22",279,107,96,2017-02-22
"video","2017-02-22",1271,489,692,2017-02-22
"photo","2017-02-22",443,341,186,2017-02-22
"link","2017-02-22",354,155,75,2017-02-22
"video","2017-02-22",298,132,34,2017-02-22
"photo","2017-02-21",842,621,365,2017-02-21
"link","2017-02-21",1268,149,140,2017-02-21
"video","2017-02-21",457,494,233,2017-02-21
"photo","2017-02-21",217,117,99,2017-02-21
"photo","2017-02-21",286,214,79,2017-02-21
"video","2017-02-20",728,250,292,2017-02-20
"link","2017-02-20",328,262,86,2017-02-20
"link","2017-02-20",853,271,278,2017-02-20
"link","2017-02-20",1061,411,0,2017-02-20
"link","2017-02-19",611,163,127,2017-02-19
"photo","2017-02-19",668,570,228,2017-02-19
"link","2017-02-19",615,468,84,2017-02-19
"photo","2017-02-18",1072,361,312,2017-02-18
"photo","2017-02-18",544,195,173,2017-02-18
"video","2017-02-17",521,392,140,2017-02-17
"photo","2017-02-17",648,314,202,2017-02-17
"photo","2017-02-17",244,130,117,2017-02-17
"video","2017-02-17",1735,623,629,2017-02-17
"link","2017-02-17",828,412,149,2017-02-17
"photo","2017-02-16",913,500,317,2017-02-16
"link","2017-02-16",571,82,95,2017-02-16
"link","2017-02-16",497,159,76,2017-02-16
"photo","2017-02-15",861,528,298,2017-02-15
"link","2017-02-15",324,179,84,2017-02-15
"photo","2017-02-14",340,420,106,2017-02-14
"link","2017-02-14",2202,848,507,2017-02-14
"photo","2017-02-13",421,498,150,2017-02-13
"photo","2017-02-13",444,460,281,2017-02-13
"link","2017-02-13",340,170,69,2017-02-13
"link","2017-02-12",180,440,69,2017-02-12
"photo","2017-02-12",768,341,370,2017-02-12
"link","2017-02-10",229,422,33,2017-02-10
"photo","2017-02-10",437,422,126,2017-02-10
"photo","2017-02-10",926,388,314,2017-02-10
"link","2017-02-09",274,252,38,2017-02-09
"link","2017-02-09",442,558,153,2017-02-09
"video","2017-02-09",214,282,0,2017-02-09
"video","2017-02-08",1729,1147,2,2017-02-08
"photo","2017-02-08",771,586,322,2017-02-08
"video","2017-02-08",1357,848,1047,2017-02-08
"video","2017-02-08",243,254,70,2017-02-08
"video","2017-02-08",575,454,209,2017-02-08
"link","2017-02-08",275,70,48,2017-02-08
"photo","2017-02-08",1659,836,450,2017-02-08
"photo","2017-02-07",125,200,64,2017-02-07
"photo","2017-02-07",1723,867,741,2017-02-07
"photo","2017-02-07",926,307,395,2017-02-07
"photo","2017-02-07",732,410,116,2017-02-07
"video","2017-02-07",440,273,190,2017-02-07
"link","2017-02-06",227,148,56,2017-02-06
"video","2017-02-06",838,354,382,2017-02-06
"link","2017-02-06",175,191,42,2017-02-06
"link","2017-02-06",654,193,0,2017-02-06
"link","2017-02-05",403,248,80,2017-02-05
"link","2017-02-04",585,537,0,2017-02-04
"link","2017-02-04",585,249,159,2017-02-04
"link","2017-02-04",603,316,123,2017-02-04
"photo","2017-02-03",974,508,612,2017-02-03
"video","2017-02-03",2011,343,0,2017-02-03
"link","2017-02-03",508,169,116,2017-02-03
"video","2017-02-02",1642,579,571,2017-02-02
"link","2017-02-02",318,227,125,2017-02-02
"link","2017-02-02",175,138,30,2017-02-02
"link","2017-02-02",315,148,84,2017-02-02
"photo","2017-02-01",1025,910,1336,2017-02-01
"video","2017-02-01",2477,466,0,2017-02-01
"video","2017-02-01",646,1164,407,2017-02-01
"video","2017-02-01",635,324,118,2017-02-01
"photo","2017-02-01",228,123,57,2017-02-01
"photo","2017-02-01",1103,534,210,2017-02-01
"link","2017-02-01",317,56,63,2017-02-01
"video","2017-01-31",3012,845,0,2017-01-31
"video","2017-01-31",645,450,210,2017-01-31
"link","2017-01-31",176,74,35,2017-01-31
"link","2017-01-30",467,282,136,2017-01-30
"photo","2017-01-30",642,253,181,2017-01-30
"link","2017-01-30",1766,501,0,2017-01-30
"link","2017-01-29",230,105,30,2017-01-29
"link","2017-01-29",220,90,47,2017-01-29
"link","2017-01-28",130,147,67,2017-01-28
"link","2017-01-28",388,280,77,2017-01-28
"link","2017-01-27",334,439,50,2017-01-27
"link","2017-01-27",333,197,71,2017-01-27
"link","2017-01-27",360,236,83,2017-01-27
"photo","2017-01-27",1132,288,0,2017-01-27
"link","2017-01-27",1415,538,206,2017-01-27
"link","2017-01-27",355,228,55,2017-01-27
"link","2017-01-27",155,128,20,2017-01-27
"photo","2017-01-26",298,643,196,2017-01-26
"photo","2017-01-26",151,284,42,2017-01-26
"photo","2017-01-26",444,173,127,2017-01-26
"video","2017-01-26",941,325,0,2017-01-26
"photo","2017-01-25",321,494,54,2017-01-25
"link","2017-01-25",521,228,133,2017-01-25
"video","2017-01-25",588,528,193,2017-01-25
"photo","2017-01-25",503,192,252,2017-01-25
"photo","2017-01-25",360,363,86,2017-01-25
"photo","2017-01-25",864,311,372,2017-01-25
"video","2017-01-25",1063,122,0,2017-01-25
"photo","2017-01-24",267,246,59,2017-01-24
"photo","2017-01-24",392,141,59,2017-01-24
"link","2017-01-24",233,358,96,2017-01-24
"video","2017-01-24",1346,543,0,2017-01-24
"video","2017-01-24",864,423,0,2017-01-24
"link","2017-01-23",882,483,1,2017-01-23
"photo","2017-01-23",263,293,121,2017-01-23
"video","2017-01-23",838,374,452,2017-01-23
"photo","2017-01-23",1041,365,407,2017-01-23
"link","2017-01-22",1597,1025,688,2017-01-22
"link","2017-01-21",262,220,79,2017-01-21
"photo","2017-01-21",388,611,187,2017-01-21
"link","2017-01-21",284,263,87,2017-01-21
"link","2017-01-20",327,268,45,2017-01-20
"photo","2017-01-20",1459,689,281,2017-01-20
"link","2017-01-20",314,138,51,2017-01-20
"photo","2017-01-20",346,522,94,2017-01-20
"photo","2017-01-19",320,287,35,2017-01-19
"link","2017-01-19",88,62,27,2017-01-19
"video","2017-01-19",1942,827,0,2017-01-19
"link","2017-01-19",313,155,34,2017-01-19
"link","2017-01-19",766,452,124,2017-01-19
"video","2017-01-19",157,94,0,2017-01-19
"link","2017-01-18",362,224,69,2017-01-18
"photo","2017-01-18",346,147,53,2017-01-18
"photo","2017-01-18",642,352,114,2017-01-18
"video","2017-01-18",1042,740,741,2017-01-18
"video","2017-01-18",1186,558,269,2017-01-18
"link","2017-01-17",293,323,62,2017-01-17
"video","2017-01-17",1308,598,0,2017-01-17
"link","2017-01-17",2439,771,541,2017-01-17
"video","2017-01-17",324,358,282,2017-01-17
"photo","2017-01-17",1263,723,581,2017-01-17
"photo","2017-01-17",526,342,146,2017-01-17
"photo","2017-01-17",603,561,161,2017-01-17
"link","2017-01-16",1793,389,435,2017-01-16
"photo","2017-01-16",637,710,201,2017-01-16
"link","2017-01-15",143,254,125,2017-01-15
"photo","2017-01-15",349,719,153,2017-01-15
"video","2017-01-15",445,542,272,2017-01-15
"link","2017-01-14",518,228,113,2017-01-14
"link","2017-01-14",800,267,198,2017-01-14
"photo","2017-01-13",830,445,403,2017-01-13
"link","2017-01-13",1092,477,156,2017-01-13
"link","2017-01-13",357,158,90,2017-01-13
"video","2017-01-13",1575,442,0,2017-01-13
"link","2017-01-12",432,154,102,2017-01-12
"photo","2017-01-12",618,354,308,2017-01-12
"link","2017-01-12",169,86,18,2017-01-12
"photo","2017-01-12",782,218,237,2017-01-12
"link","2017-01-12",255,92,0,2017-01-12
"link","2017-01-12",121,43,36,2017-01-12
"video","2017-01-12",228,213,0,2017-01-12
"photo","2017-01-11",458,452,103,2017-01-11
"link","2017-01-11",426,598,707,2017-01-11
"photo","2017-01-11",122,222,27,2017-01-11
"link","2017-01-10",228,306,57,2017-01-10
"photo","2017-01-10",172,449,76,2017-01-10
"link","2017-01-10",247,99,0,2017-01-10
"link","2017-01-10",1521,548,193,2017-01-10
"link","2017-01-10",500,270,99,2017-01-10
"link","2017-01-09",137,131,78,2017-01-09
"photo","2017-01-09",548,306,167,2017-01-09
"link","2017-01-09",229,244,51,2017-01-09
"video","2017-01-08",1572,763,0,2017-01-08
"link","2017-01-08",1853,1161,326,2017-01-08
"link","2017-01-07",787,639,77,2017-01-07
"link","2017-01-07",429,636,48,2017-01-07
"link","2017-01-06",84,232,16,2017-01-06
"link","2017-01-05",140,323,50,2017-01-05
"video","2017-01-04",3691,906,0,2017-01-04
"photo","2017-01-04",328,504,166,2017-01-04
"photo","2017-01-04",1661,940,347,2017-01-04
"link","2017-01-04",650,163,92,2017-01-04
"link","2017-01-03",397,180,109,2017-01-03
"link","2017-01-03",2287,607,0,2017-01-03
"link","2017-01-02",385,227,86,2017-01-02
"photo","2017-01-02",902,237,155,2017-01-02
"video","2017-01-01",2089,772,0,2017-01-01
"link","2016-12-31",504,336,73,2016-12-31
"link","2016-12-31",246,175,52,2016-12-31
"video","2016-12-31",969,346,0,2016-12-31
